,total,하락세,하락,급락,내림세,하락…,하락...,하락..
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
90,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
91,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
92,8.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0
93,7.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0
94,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
95,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,11.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0
98,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
99,8.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
100,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0
101,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
102,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
103,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
107,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
108,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
110,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
111,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
113,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
114,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
115,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
117,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
118,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
121,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
122,11.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0
123,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
124,11.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0
125,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
126,10.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0
127,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
128,14.0,3.0,8.0,2.0,0.0,1.0,0.0,0.0
129,14.0,2.0,10.0,1.0,0.0,1.0,0.0,0.0
130,10.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0
131,16.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0
132,8.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0
133,13.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0
134,19.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0
135,22.0,3.0,17.0,1.0,0.0,1.0,0.0,0.0
136,17.0,4.0,5.0,5.0,0.0,3.0,0.0,0.0
137,13.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0
138,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
139,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
140,15.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0
141,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
142,16.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0
143,14.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0
144,25.0,9.0,14.0,0.0,2.0,0.0,0.0,0.0
145,11.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
146,25.0,8.0,16.0,0.0,0.0,1.0,0.0,0.0
147,18.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0
148,20.0,5.0,9.0,5.0,0.0,0.0,0.0,1.0
