,total,상승세,상승,올라,급등,상승…,오름세,상승..,상승...
49,11.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0
50,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
51,12.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0
52,17.0,2.0,6.0,4.0,3.0,0.0,1.0,1.0,0.0
53,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
54,8.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0
55,10.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0
56,19.0,3.0,8.0,2.0,1.0,2.0,0.0,1.0,2.0
57,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
58,17.0,0.0,6.0,2.0,5.0,0.0,4.0,0.0,0.0
59,16.0,2.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0
60,27.0,2.0,14.0,3.0,5.0,1.0,1.0,1.0,0.0
61,10.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0
62,25.0,1.0,12.0,4.0,5.0,0.0,2.0,0.0,1.0
63,11.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0
64,10.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
65,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
66,7.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
67,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
68,8.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
69,26.0,5.0,13.0,5.0,2.0,0.0,0.0,0.0,1.0
70,11.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0
71,8.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
72,8.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0
73,46.0,0.0,26.0,6.0,6.0,5.0,1.0,2.0,0.0
74,21.0,2.0,8.0,3.0,4.0,0.0,4.0,0.0,0.0
75,18.0,5.0,6.0,0.0,4.0,3.0,0.0,0.0,0.0
76,14.0,1.0,6.0,2.0,0.0,2.0,3.0,0.0,0.0
77,14.0,2.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0
78,11.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
79,6.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0
80,6.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
81,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
82,21.0,3.0,9.0,2.0,3.0,0.0,3.0,1.0,0.0
83,8.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
84,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
85,13.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0
86,10.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0
87,9.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0
88,9.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0
89,7.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
90,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
91,13.0,2.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0
92,17.0,2.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0
93,13.0,2.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0
94,7.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0
95,9.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
96,17.0,2.0,5.0,3.0,4.0,2.0,0.0,1.0,0.0
97,19.0,0.0,8.0,4.0,5.0,0.0,2.0,0.0,0.0
98,7.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
99,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
100,6.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
101,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
102,10.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0
103,8.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
